,FROM_ADDRESS,TOP_PROFILE,TOP_PROFILE_SCORE
276,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,Dex Trader,1953
277,0x12487de245d5e90d3868fe8cfd157ee77c3fb609,Dex Trader,90
278,0x125b367c16c5858f11e12948404f7a1371a0fda3,Yield Farmer,1
279,0x12652c6d93fdb6f4f37d48a8687783c782bb0d10,Dex Trader,71
280,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,Dex Trader,198
281,0x129e6b5dbc0ecc12f9e486c5bc9cdf1a6a80bc6a,Dex Trader,30
282,0x12d4444f96c644385d8ab355f6ddf801315b6254,Dex Trader,67
283,0x12d737470fb3ec6c3deec9b518100bec9d520144,Dex Trader,289
284,0x12ff0e28318e53a6f91d42cf607963076af6c03f,Dex Trader,71
285,0x131cb8634d767292c7af549a845df4c09579b49c,Dex Trader,52
286,0x13208e8aa791c87394b1c20b8cb4ef03f5ceab56,Dex Trader,104
287,0x133e627603dba3ca11438ba3cf20fa13ce968f07,Dex Trader,0
288,0x135896de8421be2ec868e0b811006171d9df802a,Dex Trader,18
289,0x136471a34f6ef19fe571effc1ca711fdb8e49f2b,Oracle User,19
290,0x1385fc1fe0418ea0b4fcf7adc61fc7535ab7f80d,Dex Trader,291
291,0x139af0e04478c5428ba64e093658d39a5f35de0c,Dex Trader,14
292,0x13d6272e74b7766d7b73c24f14f892b58a759e04,Dex Trader,35
293,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,Dex Trader,28
294,0x1408743cdc399b0d00e132f841ad1a6e11bba3a0,Dex Trader,148
295,0x14100f81e33c33ecc7cdac70181fb45b6e78569f,Dex Trader,55
296,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,Dex Trader,34
297,0x143cdd69557c4b2512ea67737329f72dbfc032b6,Dex Trader,16
298,0x143f4fbc7b9d4235b2d8a74e905598da7e951be0,Oracle User,6
299,0x1440ec793ae50fa046b95bfeca5af475b6003f9e,Dex Trader,104
300,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,Dex Trader,101
301,0x14510ad58c0130818a2d46af6ca2a03c3099c6f5,Dex Trader,45
302,0x1458770554b8918b970444d8b2c02a47f6df99a7,Dex Trader,67
303,0x145f0c28a85e351b6de89fe06a0c062528da5d13,Dex Trader,62
304,0x147b12c06d9e8e3837280f783fd8070848d4412e,Dex Trader,0
305,0x147bead0b921b2a33f34558c5764ec251f36ba6f,Dex Trader,32
306,0x148613e2fa1f66a547883e7b9107d56c451b1dd1,Dex Trader,13
307,0x148fd16051d09239c90d5b564a483b8a28945c04,Dex Trader,19
308,0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,Dex Trader,296
309,0x14d725edb1299ff560d96f42462f0234b65b00af,Dex Trader,22
310,0x14dce29a70775f86dfd985af4ee2fde16c486839,Dex Trader,14
311,0x14f144066807b7c0f1682f9d82bf24ea371f0cce,Dex Trader,78
312,0x14f2b6ca0324cd2b013ad02a7d85541d215e2906,Dex Trader,88
313,0x150f94b44927f078737562f0fcf3c95c01cc2376,Defi Farmer,138
314,0x15153da0e9e13cfc167b3d417d3721bf545479bb,Dex Trader,157
315,0x1522900b6dafac587d499a862861c0869be6e428,Dex Trader,12
316,0x15567c4ffd9109795dff1d9a5233d10aef0738d2,Dex Trader,0
317,0x1561c4c6131a4aebe15dd1b58a97945b1be95058,Dex Trader,95
318,0x15700b564ca08d9439c58ca5053166e8317aa138,Dex Trader,122
319,0x157e7a4eeb268566f1146f4bfbc0c4d0cb3eea14,Dex Trader,176
320,0x15a1902069499fa225ca9bb3b5fdedf7d331e939,Dex Trader,8
321,0x15abc0a88b462ed37c89fbcd2bc0d6bd8a94f22d,Dex Trader,146
322,0x15ae08b70148a7f3299ce9832a2a1b2d086757d1,Dex Trader,14
323,0x15c905dec8da0a90fa05f8121e8f8285d30ef1f4,Nft Collector,506
324,0x15cfbf58b02f62e3083d063ebe394fac5bdd674c,Dex Trader,0
325,0x15d0ea368bfb0e390ea3d942e5f6e2ad702fe0fd,Dex Trader,0
326,0x15dc6e110423d97339105e6c377ce08191527e95,Dex Trader,33
327,0x15df11ca7327bbd4c7205c4bc5e0be56180e054b,Dex Trader,0
328,0x16198752118c5fb879d567a3341c06e76e5d38ec,Dex Trader,23
329,0x16588709ca8f7b84829b43cc1c5cb7e84a321b16,Dex Trader,147
330,0x167478921b907422f8e88b43c4af2b8bea278d3a,Dex Trader,33
331,0x1686f2a47709eb4cd6d0f1bf48468aac7d68da75,Dex Trader,57
332,0x169e50cccd51d2cef3971d55709474378296d500,Dex Trader,124
333,0x16ac64ddfacca437be7fe0da0c45bcd97227588a,Dex Trader,158
334,0x16b68e1c5d3b9b3028978d96e106d3a5c3b42093,Dex Trader,34
335,0x16c6521dff6bab339122a0fe25a9116693265353,Dex Trader,145
336,0x16d5783a96ab20c9157d7933ac236646b29589a4,Dex Trader,0
337,0x16d5a408e807db8ef7c578279beeee6b228f1c1c,Dex Trader,16
338,0x1715a3e4a142d8b698131108995174f37aeba10d,Dex Trader,283
339,0x171795b48c9b5b4df5ce09a744d7c2f2f6f4e91d,Protocol Dev,28
340,0x1729981345aa5cacdc19ea9eeffea90cf1c6e28b,Dex Trader,8
